ano,partido_coligacao,total_real_receitas,total_real_despesas,total_prev_receitas,total_prev_despesas
2005,CDU,939830.17,843628.84,862000,862000
2005,PP,2186100.59,2243619.2,6767082,6767082
2005,PSD,3079709.53,4737821.53,7329132,7329132
2005,PS,4647203.66,4647203.66,4850000,4850000
2005,PCTP,6049,0,14700,14700
2005,POUS,1166.85,1166.85,1370,1370
2005,PDA,3641.5,3641.5,8000,8000
2005,PNR,1225,0,1740,1740
2005,BE,561593.68,561593.68,730000,730000
2005,PH,1590,804.37,800,800
2005,PND,47158.12,60232.45,250000,250000
2009,CDS,915097.83,1020339.33,850000,850000
2009,PPD/PSD,2945382.02,2945382.02,3340000,3340000
2009,PS,5530651.33,5467056.11,5547000,5547000
2009,PCTP/MRPP,48492.71,41759.94,45000,45000
2009,PPM,68.32,586.02,18600,18600
2009,POUS,1215,1140.95,1850,1850
2009,PNR,2945.7,2945.7,3000,3000
2009,MPT,183.6,1967.7,300,300
2009,BE,1301613,888111,993817,993817
2009,PND,18950.77,26762.77,50000,50000
2009,MMS,51985.36,51985.36,40000,35000
2009,MEP,23950.9,23950.9,355000,355000
2009,PTP,0,405,62500,62500
2009,PPV,5054.8,5038.95,4000,4000
2009,CDU,1225754.79,1225754.79,1950000,1950000
2009,FEH,17185.08,23485.08,25000,25000
2011,CDS-PP,796714.75,796714.75,700000,700000
2011,PPD/PSD,3828382.29,3828382.29,1990000,1990000
2011,PS,4133205.44,4132885.35,2200000,2200000
2011,PCTP/MRPP,92260,80544.36,80000,80000
2011,PPM,1478.68,1478.68,18000,18000
2011,POUS,1479.6,1446.16,1950,1950
2011,PDA,9631.58,9631.58,40000,40000
2011,PNR,4232.18,4232.18,1700,1700
2011,MPT,5200,5994.48,20000,20000
2011,BE,772038.89,863791.07,704809,704809
2011,PH,456.15,455.96,5000,5000
2011,PND,8500,8434.65,9980,9980
2011,MEP,9445.29,11499.1,10000,10000
2011,PTP,0,0,5000,5000
2011,PPV,1869.68,1869.68,0,0
2011,PAN,24917.69,24926.51,9000,9000
2011,PCP-PEV,924887.16,924887.16,995000,995000
2015,PAF,-,-,2800000,2800000
2015,CDS-PP,-,-,75000,75000
2015,PSD,-,-,185000,185000
2015,PS,-,-,2594930,2594930
2015,BE,-,-,598084.8,598084.8
2015,CDU,-,-,1500000,1500000
2015,PAN,-,-,30000,30000
2015,Livre,-,-,215140,215140
2015,JPP,-,-,355000,355000
2015,PDR,-,-,207910,207910
2015,Nós Cidadãos,-,-,36000,36000
2015,PURP,-,-,8000,8000
2015,PTP,-,-,2700,2700
2015,MPT,-,-,57000,57000
2015,PNR,-,-,2000,2000
2015,PPM,-,-,10500,10500
2015,PCTP-MRPP,-,-,85000,85000
2015,PPV/CDC,-,-,1500,1500
2015,Aliança Açores,-,-,75000,75000
2015,AGIR,-,-,12000,12000
